title,price,bed,bath,area(sq.ft.)
"18081 Oakfield Avenue Detroit, MI 48235","83,600",4,1,"1,379"
"5243 Marseilles Street Detroit, MI 48224","59,999",3,1,961
"8865 Greenview Avenue Detroit, MI 48228","71,000",3,1,794
"18646 Goulburn Avenue Detroit, MI 48205","75,000",3,1,954
"11914 Laing Street Detroit, MI 48224","65,000",4,1,"1,242"
"14832 Lauder Street Detroit, MI 48227","94,400",3,1,"1,027"
"4624 Beniteau Street Detroit, MI 48214","69,900",6,2,"2,448"
"15017 Wildemere Street Detroit, MI 48238","65,000",5,2,"1,312"
"2150-2152 Crane Street Detroit, MI 48214","189,000",4,2,"1,918"
"11069 College Street Detroit, MI 48205","83,000",3,1,"1,582"
"0 Coyle Street Detroit, MI 48227","80,000",3,1,"1,272"
"18918 Goulburn Avenue Detroit, MI 48205","75,000",5,1.5,"1,603"
"9136 Devonshire Road Detroit, MI 48224","94,400",3,1,"1,464"
"5064 Marseilles Street Detroit, MI 48224","85,900",4,1.5,"1,237"
"11035 Roselawn Street Detroit, MI 48204","59,900",3,1.5,"1,381"
"18441 Monica Street Detroit, MI 48221","160,000",3,2,"1,520"
"3777 Elmhurst Street Detroit, MI 48206","55,000",4,2,"1,728"
"18202 Stansbury Avenue Detroit, MI 48235","110,000",3,1,"1,024"
"8279 Indiana Street Detroit, MI 48204","110,000",3,2,"1,733"
"9327 Fielding Street Detroit, MI 48228","71,000",3,1,"1,074"
"20020 Archdale Street Detroit, MI 48235","69,000",3,1,881
"17158 Greenlawn Street Detroit, MI 48221","170,000",4,2,"2,093"
"15409 Snowden Street Detroit, MI 48227","65,000",3,1,"1,162"
"4059 Tyler Street Detroit, MI 48238","155,000",5,3,"2,668"
"11642 Yellowstone Street Detroit, MI 48204","59,000",3,1,963
"471 Kitchener Street Detroit, MI 48215","175,000",4,2,"1,848"
"18989 Evergreen Road Detroit, MI 48219","115,000",4,2,"1,482"
"1812 West Grand Boulevard Detroit, MI 48208","115,000",6,2,"2,716"
"19630 Riverview Street Detroit, MI 48219","110,000",3,1,908
"20229 Charest Street Detroit, MI 48234","75,000",3,1,"1,169"
"268 Marston Street Detroit, MI 48202","475,000",11,4,"4,838"
"15771 Tracey Street Detroit, MI 48227","110,000",4,2,"1,600"
"20410 5 Points Street Detroit, MI 48240","77,000",3,1,831
"9161 Littlefield Street Detroit, MI 48228","95,000",3,1,"1,223"
"2445 Concord Avenue Detroit, MI 48207","149,900",7,2,"1,511"
"8272 Roselawn Street Detroit, MI 48204","54,000",3,1.5,"1,002"
"9931 Artesian Street Detroit, MI 48228","65,000",3,1,"1,028"
"16567 Mark Twain Street Detroit, MI 48235","120,000",3,1.5,"1,361"
"16575 Asbury Park Detroit, MI 48235","115,000",3,1,"1,152"
"12063 Robson Street Detroit, MI 48227","55,900",3,1,"1,111"
"12927 Plymouth Road Detroit, MI 48227","414,900",10,10,"4,467"
"19125 Joann Avenue Detroit, MI 48205","65,000",3,2,"1,104"
